,Ticker,Name,Market Cap,Sector,Beta
11686,PHM,Pultegroup Inc,10707.461862432434,Consumer products,1.32878
11687,RUSMF,Russel Metals Inc,2017.673629,Trading Companies & Distributors,1.56938
11688,PLPL,Plandai Biotechnology Inc,2.72,Biotechnology,-0.49084
11689,WYGPY,Worley Ltd,7759.929331,,2.30926
11690,AGGFF,African Gold Group Inc,21.659705,Metals & Mining,2.17156
11691,CPTP,Capital Properties Inc,78.87,Real Estate,0.00357
11692,QNRX,Quoin Pharmaceuticals Ltd,5.241642,Life Sciences Tools & Services,1.74411
11693,KALO,Kallo Inc,99.16,Health Care,4.98751
11694,EXLS,Exlservice Holdings Inc,4893.069894548403,Technology,0.97241
11695,ISVLF,Impact Silver Corp,53.88365,Metals & Mining,1.2771
11696,REVXF,Revenio Group Oyj,1255.915548,Health Care,1.30581
11697,VAIAF,Vaisala Oyj,1521.660234,Electrical Equipment,0.95221
11698,TSPCF,Cleanaway Waste Management Ltd,6022.756085,Commercial Services & Supplies,1.33027
11699,CHYOF,Chiyoda Co Ltd,26194.591965,Retail,0.73188
11700,FMCB,Farmers & Merchants Bancorp,736.8885450159404,Banking,0.269
11701,ZLPSF,Zooplus SE,2861.1,Retail,0.29562
11702,SAABY,Saab AB,54574.41,Aerospace & Defense,1.09471
11703,BAND,Bandwidth Inc,528.2931815622202,Telecommunication,0.91356
11704,FLRAP,Fluor Corp,4014.5887908528885,Construction,2.76786
11705,AOMOY,Mosenergo PAO,78902.478928,Utilities,0.62779
11706,COFE,Cafe Holdings Inc,7.76,"Hotels, Restaurants & Leisure",-1.15833
11707,POLY,Plantronics Inc,1726.5845211752267,Communications,1.78525
11708,AFMD,Affimed NV,452.427049,Biotechnology,2.4831
11709,FTV,Fortive Corp,22431.669771305984,Machinery,1.10422
11710,TELL,Tellurian Inc,2647.94004748,Energy ,2.04471
11711,ULBI,Ultralife Corp,78.53888979074446,Electrical Equipment,1.49358
11712,JNCE,Jounce Therapeutics Inc,197.3959643459459,Biotechnology,1.13716
11713,FRHLF,Freehold Royalties Ltd,2384.410888,Energy ,2.311
11714,RTON,Right On Brands Inc,3.26,Retail,1.90195
11715,BLCPF,Bluechiip Ltd,16.759788,Electrical Equipment,1.26162
11716,VERU,Veru Inc,1157.865373612415,Consumer products,-0.56677
11717,CRAYF,Crayon Group Holding ASA,12026.095991,Technology,1.16546
11718,STRI,STR Holdings Inc,1.71,Semiconductors,0.87007
11719,FRME,First Merchants Corp,2395.7331655296703,Banking,1.08333
